city,homeType,latitude,longitude,garageSpaces,hasSpa,yearBuilt,numOfPatioAndPorchFeatures,lotSizeSqFt,avgSchoolRating,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,priceRange
austin,Single Family,30.31220054626465,-97.6685791015625,0,False,1961,0,7187.0,3.333333333333333,13,2.0,4,350000-450000
austin,Single Family,30.15726661682129,-97.85338592529295,2,False,2000,0,10149.0,7.333333333333332,17,3.0,4,350000-450000
austin,Single Family,30.160614013671875,-97.74182891845705,2,False,2006,0,5822.0,3.6666666666666665,15,2.5,4,0-250000
austin,Single Family,30.205366134643555,-97.79888916015624,0,False,1975,0,8102.0,4.0,14,2.0,2,0-250000
austin,Single Family,30.2706298828125,-97.7798843383789,2,False,2004,1,17424.0,8.5,14,4.0,5,650000+
austin,Single Family,30.225059509277344,-97.83689880371094,2,False,1982,0,8276.0,6.0,17,2.0,4,350000-450000
austin,Single Family,30.23113441467285,-97.78912353515624,3,True,1955,1,7579.0,4.0,12,1.0,2,650000+
austin,Single Family,30.19995880126953,-98.00811767578124,0,False,2007,0,175982.4,6.666666666666668,16,4.0,5,650000+
austin,Single Family,30.18450164794922,-97.9192123413086,0,False,2008,2,10018.0,8.0,18,4.0,4,450000-650000
austin,Single Family,30.215951919555664,-97.7846221923828,0,False,1973,0,7230.0,3.333333333333333,13,1.0,3,250000-350000
austin,Single Family,30.4367733001709,-97.71529388427734,2,False,1992,0,71438.4,5.333333333333333,14,3.0,3,650000+
austin,Single Family,30.34263229370117,-97.78119659423828,2,False,1977,3,14810.4,7.0,16,2.0,4,450000-650000
austin,Single Family,30.39279365539551,-97.65001678466795,2,False,2016,0,6316.0,3.0,14,3.0,4,250000-350000
austin,MultiFamily,30.34940719604492,-97.72801971435548,2,False,1954,0,9234.0,7.0,16,3.0,5,450000-650000
austin,Single Family,30.26299285888672,-97.76509857177734,5,False,1937,0,6708.0,6.666666666666668,16,3.0,3,650000+
austin,Single Family,30.231557846069336,-97.8516616821289,2,False,1983,0,8973.0,6.0,17,2.0,3,350000-450000
austin,Single Family,30.18317985534668,-97.98033142089844,3,False,2016,2,9191.0,6.0,16,3.0,4,450000-650000
austin,Single Family,30.1594352722168,-97.77831268310548,0,False,2005,0,4225.0,5.333333333333333,14,2.5,2,0-250000
austin,Single Family,30.29035568237305,-97.66019439697266,2,False,1987,2,12196.8,3.6666666666666665,14,3.0,3,350000-450000
austin,Single Family,30.34091186523437,-97.90272521972656,0,False,2011,0,10454.0,8.333333333333334,17,4.0,4,650000+
austin,Single Family,30.23807144165039,-97.89867401123048,0,False,1980,2,9757.0,6.666666666666668,17,3.0,4,250000-350000
austin,Single Family,30.45411872863769,-97.78508758544922,2,False,1973,3,9931.0,5.333333333333333,12,2.0,3,250000-350000
austin,Single Family,30.28394317626953,-97.6793212890625,0,False,2019,0,7884.0,3.333333333333333,13,3.0,3,450000-650000
austin,Single Family,30.44314765930176,-97.79164123535156,2,False,1976,1,14810.4,8.666666666666666,16,3.0,4,650000+
austin,Single Family,30.156925201416016,-97.83155822753906,2,False,2000,1,8670.0,3.6666666666666665,15,2.5,3,0-250000
austin,Single Family,30.31310272216797,-97.718017578125,1,False,1956,2,6054.0,6.333333333333332,16,3.0,5,650000+
austin,Single Family,30.243371963500977,-97.76519775390624,0,False,2018,0,6621.0,4.0,12,3.0,5,650000+
austin,Single Family,30.45242500305176,-97.78227996826172,6,False,1975,4,13068.0,5.333333333333333,12,2.0,3,250000-350000
austin,Single Family,30.1914005279541,-97.73152160644533,2,False,1997,2,6969.0,3.6666666666666665,14,2.0,3,0-250000
austin,Single Family,30.189727783203125,-97.82036590576172,2,False,2005,0,4530.0,4.0,13,3.0,3,250000-350000
austin,Single Family,30.346345901489247,-97.85440826416016,3,False,2003,2,45302.4,8.0,14,4.0,4,650000+
austin,Single Family,30.242351531982425,-97.73400115966795,0,False,1958,0,10236.0,4.333333333333333,14,2.0,3,450000-650000
austin,Single Family,30.34286880493164,-97.72321319580078,3,False,1950,0,10193.0,7.0,16,1.0,3,450000-650000
austin,Single Family,30.42972183227539,-97.72847747802734,0,False,1984,0,8712.0,6.666666666666668,15,2.0,3,350000-450000
austin,Single Family,30.207069396972656,-97.85167694091795,3,False,1985,0,9844.0,4.666666666666667,14,2.0,3,250000-350000
austin,Single Family,30.36567687988281,-97.7275390625,1,False,2019,0,13503.6,4.0,14,2.0,2,450000-650000
austin,Single Family,30.308284759521484,-97.88697052001952,4,False,2001,2,197326.8,9.333333333333334,14,7.0,6,650000+
austin,Single Family,30.22483253479004,-97.87593841552734,0,False,1999,0,6098.0,6.0,17,2.0,3,350000-450000
austin,Single Family,30.320316314697266,-97.68302917480467,0,False,1962,0,10105.0,2.333333333333333,14,2.0,4,250000-350000
austin,Single Family,30.29919242858887,-97.76754760742188,2,False,2015,0,9147.0,7.0,16,5.0,5,650000+
austin,Single Family,30.22016716003418,-97.87400817871094,2,True,1993,2,5967.0,8.0,17,3.0,4,350000-450000
austin,Single Family,30.25056266784668,-97.78173065185548,0,False,1960,0,9583.0,6.0,16,2.0,3,650000+
austin,Single Family,30.290590286254893,-97.7173309326172,2,False,2020,2,5967.0,6.666666666666668,15,3.0,2,450000-650000
austin,Single Family,30.35966873168945,-97.80430603027344,2,False,1994,0,27442.8,7.0,16,4.0,4,650000+
austin,Single Family,30.18988609313965,-97.8876495361328,2,False,1993,1,8886.0,9.0,18,3.0,3,450000-650000
austin,Single Family,30.25476455688477,-97.7559585571289,2,False,1936,0,6272.0,5.0,13,2.0,3,450000-650000
austin,Single Family,30.159318923950195,-97.86297607421876,2,True,1994,1,43560.0,7.333333333333332,17,4.0,4,650000+
austin,Single Family,30.149471282958984,-97.82974243164062,0,False,2005,0,6534.0,3.6666666666666665,15,3.0,3,0-250000
austin,Single Family,30.419288635253903,-97.8603973388672,3,False,1993,2,12196.8,7.0,16,5.0,4,450000-650000
austin,Single Family,30.455493927001964,-97.76978302001952,0,False,2014,1,12196.8,5.333333333333333,12,2.0,4,350000-450000
austin,Single Family,30.35904312133789,-97.70941162109376,0,False,1968,0,7797.0,4.0,14,2.0,3,250000-350000
austin,Single Family,30.14920234680176,-97.80794525146484,2,False,2001,0,6490.0,3.6666666666666665,15,2.0,3,250000-350000
austin,Single Family,30.23443031311035,-97.7715072631836,1,False,1969,0,6724.0,3.0,14,1.0,3,350000-450000
austin,Single Family,30.19326019287109,-97.73553466796876,0,False,1987,1,5837.0,3.6666666666666665,14,2.0,3,0-250000
austin,Single Family,30.37064552307129,-97.90367889404295,0,False,2005,0,9408.0,8.666666666666666,17,4.0,4,450000-650000
austin,Apartment,30.26653861999512,-97.70507049560548,1,False,2017,0,6838.0,5.333333333333333,14,2.5,2,450000-650000
austin,Single Family,30.413780212402344,-97.71221923828124,2,False,1979,2,7579.0,6.666666666666668,15,3.0,3,0-250000
austin,Single Family,30.390125274658203,-97.8005142211914,2,False,1994,0,22651.2,7.0,17,3.0,3,450000-650000
austin,Single Family,30.242361068725582,-97.91815948486328,2,False,1976,3,27442.8,7.0,17,1.0,3,350000-450000
austin,Single Family,30.36778450012207,-97.90748596191406,2,True,2006,0,7535.0,8.666666666666666,17,3.0,4,450000-650000
austin,Single Family,30.157989501953125,-97.87210845947266,2,True,1994,3,43560.0,7.333333333333332,17,3.0,4,650000+
austin,Single Family,30.174285888671875,-98.00006103515624,3,False,2006,1,15681.6,8.0,15,3.0,4,450000-650000
austin,Condo,30.24089241027832,-97.7810516357422,1,False,1972,1,1999.0,6.666666666666668,16,1.0,1,0-250000
austin,Single Family,30.3325309753418,-97.71078491210938,0,False,1968,0,9583.0,5.666666666666668,13,2.0,3,350000-450000
austin,Single Family,30.14623069763184,-97.83889770507812,2,False,2008,1,5749.0,3.6666666666666665,15,2.0,3,250000-350000
austin,Condo,30.394006729125977,-97.8283920288086,2,False,2010,0,6368.0,7.0,16,2.5,3,250000-350000
austin,Single Family,30.33456611633301,-97.69524383544922,1,False,2017,0,8276.0,3.333333333333333,15,3.0,2,350000-450000
austin,Single Family,30.41944694519043,-97.69158935546876,0,False,1981,0,7840.0,4.333333333333333,13,3.0,4,0-250000
austin,Single Family,30.426870346069336,-97.71668243408205,2,False,1997,1,6490.0,6.666666666666668,15,3.0,3,350000-450000
austin,Multiple Occupancy,30.232744216918945,-97.77864837646484,0,False,1973,0,9931.0,3.0,14,3.0,5,450000-650000
austin,Single Family,30.179821014404297,-97.8239288330078,0,False,1983,0,6446.0,5.666666666666668,16,2.0,3,250000-350000
austin,Single Family,30.37660980224609,-97.66432189941406,2,False,1972,0,10018.0,5.0,15,2.0,3,0-250000
austin,Single Family,30.36181640625,-97.67678833007812,0,False,1971,0,7056.0,5.0,15,1.0,3,0-250000
austin,Single Family,30.37572479248047,-97.9000015258789,3,True,1999,2,13068.0,8.333333333333334,17,3.0,4,450000-650000
austin,Single Family,30.25722885131836,-97.7257843017578,0,False,1916,0,6926.0,4.0,11,3.0,4,650000+
austin,Single Family,30.44041633605957,-97.6820831298828,0,False,1985,0,6838.0,2.6666666666666665,14,2.0,3,0-250000
pflugerville,Single Family,30.4138126373291,-97.64387512207033,0,False,2016,1,12196.8,3.6666666666666665,12,2.0,3,250000-350000
austin,Single Family,30.435590744018555,-97.78577423095705,2,False,1972,0,16988.4,8.666666666666666,16,2.0,4,350000-450000
austin,Single Family,30.34602928161621,-97.76099395751952,2,False,1964,1,16988.4,7.0,16,4.0,4,650000+
austin,Single Family,30.424427032470703,-97.86241912841795,2,False,2002,4,7492.0,7.0,16,4.0,5,250000-350000
austin,Single Family,30.3449764251709,-97.6188507080078,0,False,2014,0,5924.0,5.0,11,4.0,5,250000-350000
austin,Single Family,30.155744552612305,-97.83253479003906,0,False,2008,0,18295.2,3.6666666666666665,15,3.0,2,0-250000
austin,Single Family,30.19604301452637,-97.79534912109376,0,False,1975,3,7143.0,3.333333333333333,13,2.0,3,350000-450000
austin,Single Family,30.366899490356445,-97.76982879638672,0,False,1971,1,14374.8,7.0,16,4.0,4,650000+
austin,Single Family,30.430856704711925,-97.7978744506836,0,False,1985,1,10890.0,8.666666666666666,16,3.0,4,450000-650000
austin,Single Family,30.49994659423828,-97.76586151123048,0,False,2005,1,8568.0,8.333333333333334,16,4.0,5,450000-650000
austin,Single Family,30.3562126159668,-97.71160125732422,2,False,1967,1,6969.0,4.0,14,1.0,3,250000-350000
austin,Single Family,30.37568473815918,-97.84963989257812,2,False,1994,2,12196.8,7.0,16,2.0,3,450000-650000
austin,Single Family,30.24905776977539,-97.82620239257812,2,False,1975,3,7797.0,5.666666666666668,16,3.0,4,450000-650000
austin,Single Family,30.35570907592773,-97.72297668457033,2,False,1963,0,7230.0,4.0,14,2.0,4,0-250000
austin,Single Family,30.31257438659668,-97.87248992919922,3,False,1989,2,49658.4,9.333333333333334,14,4.0,5,650000+
austin,Single Family,30.42678260803223,-97.69261932373048,2,False,1996,0,7840.0,4.333333333333333,13,2.0,4,250000-350000
austin,Single Family,30.48525238037109,-97.76475524902344,2,False,1998,0,8276.0,8.0,16,3.0,5,350000-450000
austin,Single Family,30.218223571777344,-97.8717269897461,2,False,1993,1,7623.0,8.0,17,3.0,3,450000-650000
austin,Single Family,30.30507469177246,-97.75767517089844,0,False,1948,0,5706.0,6.0,16,1.0,2,350000-450000
austin,Single Family,30.38077735900879,-97.70364379882812,2,False,1973,1,7187.0,3.6666666666666665,14,2.0,3,250000-350000
austin,Single Family,30.201942443847656,-97.79357147216795,2,False,1975,2,6534.0,4.0,14,2.0,3,250000-350000
austin,Single Family,30.31143569946289,-97.72698211669922,1,False,2018,0,10018.0,7.333333333333332,15,4.0,5,350000-450000
austin,Condo,30.268230438232425,-97.68140411376952,2,False,2018,0,2059.0,3.0,11,3.0,3,350000-450000
austin,Single Family,30.304826736450195,-97.71915435791016,3,True,1948,4,4094.0,7.333333333333332,15,2.0,3,250000-350000
austin,Single Family,30.198760986328125,-97.77922821044922,0,False,1972,1,6534.0,4.0,14,2.0,3,250000-350000
austin,Single Family,30.16777992248535,-97.85143280029295,2,False,1988,1,8276.0,7.333333333333332,17,3.0,4,250000-350000
austin,Single Family,30.35326957702637,-97.7378921508789,0,False,1964,0,9496.0,6.666666666666668,16,3.5,4,450000-650000
austin,Single Family,30.48748588562012,-97.72864532470705,0,False,2014,1,5227.0,8.333333333333334,16,3.0,4,350000-450000
austin,Single Family,30.38190269470215,-97.8953094482422,0,False,2012,0,8886.0,8.333333333333334,17,3.0,4,450000-650000
austin,Single Family,30.258012771606445,-97.7685546875,2,False,2016,0,7840.0,6.666666666666668,16,5.0,4,650000+
austin,Single Family,30.17860221862793,-97.91834259033205,3,False,2010,3,11325.6,8.0,18,5.0,5,450000-650000
austin,Single Family,30.18467330932617,-97.88720703125,0,False,1997,0,16552.8,9.0,18,2.0,4,450000-650000
austin,Single Family,30.19424247741699,-97.8140106201172,2,False,1978,0,8232.0,4.0,13,2.0,4,350000-450000
austin,Single Family,30.34930229187012,-97.62107849121094,0,False,2015,1,5989.0,5.0,11,4.0,5,350000-450000
austin,Single Family,30.498735427856445,-97.74134826660156,2,True,1991,2,9931.0,7.666666666666668,16,3.0,3,350000-450000
austin,Single Family,30.49810218811035,-97.76786041259766,2,False,2002,1,7623.0,8.0,16,2.0,3,0-250000
austin,Single Family,30.25279235839844,-97.72804260253906,0,False,2008,0,6969.0,4.0,11,2.0,3,450000-650000
austin,Single Family,30.36571311950684,-97.67741394042967,2,False,1960,0,13068.0,5.0,15,2.0,3,250000-350000
austin,Single Family,30.233570098876964,-98.00807189941406,7,True,2017,3,211701.6,6.666666666666668,16,4.0,4,650000+
austin,Single Family,30.15474319458008,-97.84105682373048,0,False,2003,0,4356.0,5.666666666666668,17,3.0,3,250000-350000
austin,Single Family,30.1811466217041,-97.8551254272461,0,False,1996,0,8886.0,7.333333333333332,17,2.0,4,350000-450000
austin,Single Family,30.20418930053711,-97.8313446044922,0,False,1979,1,7840.0,4.666666666666667,14,2.0,3,350000-450000
austin,Single Family,30.18659591674805,-97.92536926269533,0,False,2009,0,10149.0,8.0,18,2.0,3,350000-450000
austin,Single Family,30.38340187072754,-97.68049621582033,0,False,1960,0,11761.2,3.333333333333333,14,2.0,3,250000-350000
austin,Single Family,30.18071174621582,-97.9198760986328,0,False,2007,0,10018.0,8.0,18,5.0,4,450000-650000
austin,Single Family,30.410837173461925,-97.7327880859375,2,False,1981,1,6969.0,6.666666666666668,15,2.0,3,350000-450000
austin,Single Family,30.1513786315918,-97.84282684326172,0,False,2005,0,7187.0,5.666666666666668,17,3.0,3,250000-350000
austin,Single Family,30.18351554870605,-97.90853881835938,0,False,2014,0,9975.0,9.0,18,4.0,4,650000+
austin,Single Family,30.19886016845703,-97.83436584472656,0,False,1981,0,7448.0,4.666666666666667,14,2.0,3,250000-350000
austin,Single Family,30.35618782043457,-97.70879364013672,2,False,1969,2,8537.0,4.0,14,2.0,3,250000-350000
austin,Single Family,30.35866737365723,-97.7127456665039,0,False,1965,0,11761.2,4.0,14,2.0,3,250000-350000
austin,Condo,30.2356071472168,-97.7029037475586,1,False,1970,0,2178.0,3.333333333333333,13,2.0,1,0-250000
austin,Single Family,30.318796157836925,-97.68424224853516,2,False,1960,0,6621.0,2.333333333333333,14,2.0,3,250000-350000
austin,Single Family,30.1867733001709,-97.82019805908205,2,False,1999,1,6838.0,5.666666666666668,16,2.0,4,350000-450000
austin,Single Family,30.18437194824219,-97.85774993896484,0,False,1991,0,9278.0,7.333333333333332,17,3.0,4,450000-650000
austin,Single Family,30.33194351196289,-97.71231079101562,1,False,1964,1,7710.0,5.666666666666668,13,2.0,4,450000-650000
austin,Single Family,30.158058166503903,-97.84290313720705,0,False,2002,0,7187.0,4.666666666666667,15,3.0,4,250000-350000
austin,Townhouse,30.37352752685547,-97.74554443359376,2,False,1976,1,3876.0,7.0,17,2.0,3,350000-450000
austin,Single Family,30.20956420898437,-97.87903594970705,2,False,1999,1,9408.0,9.0,18,3.0,4,450000-650000
austin,Single Family,30.30990028381348,-97.68628692626952,0,False,1963,0,9104.0,5.0,15,2.0,3,450000-650000
austin,Single Family,30.307796478271484,-97.7255401611328,2,False,2016,1,6229.0,7.333333333333332,15,3.0,4,650000+
austin,Single Family,30.24935340881348,-97.8813247680664,0,False,2010,0,17859.6,6.0,17,4.0,5,450000-650000
austin,Single Family,30.32565116882324,-97.7525405883789,2,False,1964,1,7840.0,7.0,16,2.0,3,450000-650000
austin,Single Family,30.309650421142567,-97.89684295654295,3,False,1997,1,12632.4,9.333333333333334,14,4.0,4,650000+
austin,Condo,30.23637580871582,-97.74762725830078,1,False,1967,0,2792.0,4.333333333333333,14,2.0,2,250000-350000
austin,Single Family,30.19577217102051,-97.82473754882812,0,False,2003,1,8712.0,4.0,13,2.0,3,250000-350000
austin,Single Family,30.452693939208984,-97.81514739990234,2,False,2001,2,8319.0,7.666666666666668,14,3.0,5,650000+
austin,Single Family,30.49164581298828,-97.79481506347656,0,False,2009,0,6098.0,8.333333333333334,16,2.0,4,250000-350000
austin,Condo,30.41307258605957,-97.73239135742188,0,False,2001,0,3863.0,6.666666666666668,15,3.0,2,0-250000
austin,Condo,30.23879623413086,-97.71907806396484,2,False,2016,3,2421.0,3.333333333333333,13,4.0,3,450000-650000
austin,Single Family,30.15117073059082,-97.7869644165039,2,False,2006,0,6229.0,5.333333333333333,15,3.0,4,250000-350000
austin,Single Family,30.35756492614746,-97.90093231201172,3,True,2003,1,14374.8,8.666666666666666,17,4.0,5,650000+
austin,Single Family,30.18088340759277,-97.83433532714844,1,False,1985,2,6664.0,5.0,15,2.0,3,250000-350000
austin,Townhouse,30.34445953369141,-97.7193374633789,1,False,2016,1,2003.0,7.0,16,3.0,3,450000-650000
austin,Single Family,30.24240303039551,-97.58674621582033,0,False,1986,1,5532.0,3.0,13,2.0,4,0-250000
austin,Single Family,30.310626983642567,-97.6530303955078,0,False,1984,1,8668.0,3.6666666666666665,14,2.0,3,250000-350000
austin,Single Family,30.25207328796387,-97.7602767944336,2,False,2005,2,6043.0,5.0,13,3.0,3,650000+
austin,Single Family,30.189720153808604,-97.78121185302734,2,True,1979,3,7117.0,4.0,14,2.0,3,350000-450000
austin,Single Family,30.167314529418945,-97.81961822509766,2,False,2013,0,4399.0,3.333333333333333,14,3.0,3,250000-350000
austin,Single Family,30.291584014892567,-97.6429672241211,2,False,2016,0,5793.0,3.6666666666666665,11,4.0,3,350000-450000
austin,Townhouse,30.36948776245117,-97.69827270507812,0,False,1973,0,4617.0,4.333333333333333,14,3.0,3,0-250000
austin,Single Family,30.283315658569336,-97.71981811523438,0,False,1930,2,5793.0,6.666666666666668,15,1.0,2,350000-450000
austin,Single Family,30.23734664916992,-97.85089874267578,5,False,1969,1,53578.8,6.0,17,3.0,3,450000-650000
austin,Single Family,30.21490859985352,-97.81187438964844,1,False,1979,2,7274.0,4.0,13,2.0,3,0-250000
austin,Condo,30.230913162231445,-97.7146987915039,2,False,1984,0,5471.0,3.333333333333333,11,3.0,2,0-250000
austin,Single Family,30.30269241333008,-97.63990020751952,2,True,1996,1,5793.0,3.333333333333333,14,2.0,3,250000-350000
pflugerville,Single Family,30.41032409667969,-97.64022064208984,2,False,2017,1,5998.0,3.0,14,2.0,4,250000-350000
austin,Single Family,30.145891189575195,-97.8405303955078,2,False,2008,1,6490.0,3.6666666666666665,15,2.0,3,0-250000
austin,Single Family,30.348257064819336,-97.70096588134766,0,False,1960,0,9099.0,3.333333333333333,13,4.0,6,250000-350000
austin,Single Family,30.42322158813477,-97.77649688720705,2,False,1994,2,15245.999999999998,8.333333333333334,16,3.0,4,450000-650000
austin,Single Family,30.38084983825684,-97.90650177001952,4,False,2003,0,41382.0,8.333333333333334,17,5.0,5,650000+
austin,Single Family,30.31103515625,-97.73017120361328,0,False,1940,0,7840.0,7.333333333333332,15,2.0,3,450000-650000
austin,Single Family,30.19406700134277,-97.83521270751952,2,False,1992,0,4181.0,6.666666666666668,16,3.0,3,250000-350000
austin,Apartment,30.29844093322754,-97.7350616455078,1,False,1981,0,949.0,7.333333333333332,15,1.0,1,0-250000
austin,Single Family,30.13288688659668,-97.77989196777344,0,False,2005,0,8929.0,5.333333333333333,15,2.0,3,350000-450000
austin,Single Family,30.155126571655284,-97.78845977783205,0,False,2007,1,6141.0,5.333333333333333,15,2.0,3,250000-350000
austin,Single Family,30.31268119812012,-97.74049377441406,2,False,2014,0,6534.0,6.0,16,3.0,4,650000+
